timestamp,ppg,label,stage,hand
1582540989809,2846360,0,0,0
1582540989909,2846082,0,0,0
1582540990009,2845644,0,0,0
1582540990109,2845543,0,0,0
1582540990210,2845780,0,0,0
1582540990310,2845907,0,0,0
1582540990410,2845028,0,0,0
1582540990510,2843398,0,0,0
1582540990610,2842691,0,0,0
1582540990710,2842466,0,0,0
1582540990821,2842334,0,0,0
1582540990921,2842637,0,0,0
1582540991022,2843220,0,0,0
1582540991121,2843776,0,0,0
1582540991222,2843038,0,0,0
1582540991322,2842214,0,0,0
1582540991422,2842024,0,0,0
1582540991522,2842202,0,0,0
1582540991622,2842488,0,0,0
1582540991722,2843083,0,0,0
1582540991822,2843800,0,0,0
1582540991922,2843827,0,0,0
1582540992022,2842944,0,0,0
1582540992122,2842861,0,0,0
1582540992222,2842927,0,0,0
1582540992322,2843104,0,0,0
1582540992424,2843763,0,0,0
1582540992523,2844533,0,0,0
1582540992623,2844614,0,0,0
1582540992722,2843479,0,0,0
1582540992823,2843106,0,0,0
1582540992923,2843122,0,0,0
1582540993023,2843124,0,0,0
1582540993113,2843737,0,0,0
1582540993213,2844310,0,0,0
1582540993313,2844559,0,0,0
1582540993413,2843314,0,0,0
1582540993513,2842863,0,0,0
1582540993613,2842779,0,0,0
1582540993713,2842850,0,0,0
1582540993813,2843333,0,0,0
1582540993912,2844096,0,0,0
1582540994012,2844186,0,0,0
1582540994112,2843038,0,0,0
1582540994212,2842351,0,0,0
1582540994312,2842273,0,0,0
1582540994412,2842246,0,0,0
1582540994512,2842584,0,0,0
1582540994612,2843437,0,0,0
1582540994712,2844286,0,0,0
1582540994812,2843571,0,0,0
1582540994912,2842640,0,0,0
1582540995013,2842478,0,0,0
1582540995112,2842518,0,0,0
1582540995212,2842834,0,0,0
1582540995315,2843342,0,0,0
1582540995413,2843978,0,0,0
1582540995513,2844259,0,0,0
1582540995613,2843182,0,0,0
1582540995713,2842980,0,0,0
1582540995813,2843053,0,0,0
1582540995913,2843206,0,0,0
1582540996013,2843679,0,0,0
1582540996113,2844303,0,0,0
1582540996224,2844903,0,0,0
1582540996313,2843921,0,0,0
1582540996424,2843393,0,0,0
1582540996524,2843057,0,0,0
1582540996624,2843091,0,0,0
1582540996724,2843759,0,0,0
1582540996824,2844455,0,0,0
1582540996924,2845543,0,0,0
1582540997025,2845579,0,0,0
1582540997124,2845090,0,0,0
1582540997224,2844898,0,0,0
1582540997324,2845297,0,0,0
1582540997427,2845838,0,0,0
1582540997527,2845527,0,0,0
1582540997625,2844572,0,0,0
1582540997727,2843713,0,0,0
1582540997825,2842170,0,0,0
1582540997925,2843227,0,0,0
1582540998025,2842901,0,0,0
1582540998125,2845835,0,0,0
1582540998225,2849206,0,0,0
1582540998327,2853242,0,0,0
1582540998427,2855423,0,0,0
1582540998528,2855222,0,0,0
1582540998629,2856709,0,0,0
1582540998728,2860939,0,0,0
1582540998828,3022148,0,0,0
1582540998928,2945924,0,0,0
1582540999027,2924794,0,0,0
1582540999128,2926568,0,0,0
1582540999218,2924903,0,0,0
1582540999318,2922735,0,0,0
1582540999418,2920853,0,0,0
1582540999518,2919055,0,0,0
1582540999618,2917544,0,0,0
1582540999718,2916570,0,0,0
1582540999818,2915725,0,0,0
1582540999918,2913573,0,0,0
1582541000018,2910943,0,0,0
1582541000119,2909446,0,0,0
1582541000218,2908020,0,0,0
1582541000318,2906581,0,0,0
1582541000419,2905745,0,0,0
1582541000519,2904990,0,0,0
1582541000619,2903388,0,0,0
1582541000719,2900675,0,0,0
1582541000828,2900044,0,0,0
1582541000928,2898914,0,0,0
1582541001029,2898003,0,0,0
1582541001128,2897144,0,0,0
1582541001228,2896794,0,0,0
1582541001329,2896250,0,0,0
1582541001429,2894375,0,0,0
1582541001529,2893004,0,0,0
1582541001629,2892175,0,0,0
1582541001729,2891514,0,0,0
1582541001830,2890847,0,0,0
1582541001930,2890636,0,0,0
1582541002030,2889238,0,0,0
1582541002130,2887714,0,0,0
1582541002230,2887180,0,0,0
1582541002330,2886363,0,0,0
1582541002431,2885930,0,0,0
1582541002530,2885700,0,0,0
1582541002630,2885268,0,0,0
1582541002730,2884007,0,0,0
1582541002831,2883027,0,0,0
1582541002931,2882500,0,0,0
1582541003031,2881918,0,0,0
1582541003121,2881372,0,0,0
1582541003220,2881247,0,0,0
1582541003321,2880808,0,0,0
1582541003421,2879468,0,0,0
1582541003521,2878701,0,0,0
1582541003620,2878318,0,0,0
1582541003720,2877643,0,0,0
1582541003819,2877295,0,0,0
1582541003919,2877156,0,0,0
1582541004020,2875975,0,0,0
1582541004120,2874810,0,0,0
1582541004220,2874329,0,0,0
1582541004321,2873707,0,0,0
1582541004420,2873210,0,0,0
1582541004520,2873008,0,0,0
1582541004620,2872310,0,0,0
1582541004720,2870984,0,0,0
1582541004820,2870231,0,0,0
1582541004920,2869384,0,0,0
1582541005019,2868617,0,0,0
1582541005119,2868103,0,0,0
1582541005220,2867849,0,0,0
1582541005319,2866427,0,0,0
1582541005420,2865187,0,0,0
1582541005530,2864254,0,0,0
1582541005620,2863524,0,0,0
1582541005730,2862872,0,0,0
1582541005830,2862420,0,0,0
1582541005930,2860757,0,0,0
1582541006030,2859038,0,0,0
1582541006130,2857988,0,0,0
1582541006230,2856912,0,0,0
1582541006330,2855938,0,0,0
1582541006431,2855474,0,0,0
1582541006530,2854224,0,0,0
1582541006630,2852148,0,0,0
1582541006731,2850857,0,0,0
1582541006831,2849791,0,0,0
1582541006931,2848515,0,0,0
1582541007031,2847520,0,0,0
1582541007131,2846847,0,0,0
1582541007231,2844603,0,0,0
1582541007331,2842660,0,0,0
1582541007432,2841423,0,0,0
1582541007531,2840199,0,0,0
1582541007631,2838974,0,0,0
1582541007731,2838334,0,0,0
